,comments
0,เภสัชคงจะคิดหลายชั้นมากเกินไป
1,"แล้วทำไมคุณไม่ถาม ว่า
แบบนี้ มีซองสีส้มมั๊ย"
2,"มีที่อยากได้อยู่ในใจ ทำไมไม่ถาม

เภสัชกร ไม่ได้ลงวิชา ตาทิพย์101 หรือ ฌาณหยั่งรู้407"
3,พี่ไม่ทราบบริบทอื่นๆในขณะสนทนา...แต่มาตอบให้สบายใจจะได้ใช้ได้ค่ะที่ซื้อมา...มันคืยาตัวเดียวกันนะคะ คิดว่าstrepsilอาจจะเปลี่ยนแผงค่ะ
4,"ผมเป็นเภสัช เท่าที่อ่านกระทู้ดูผมเข้าใจ ถ้าถามผม ๆ คงตอบว่าไม่มีครับ สรรพคุณแบบนี้ที่ร้านมีรสเดียว
แต่ในสถานการณ์จริง ผมเองก็ไม่ทราบว่า สิ่งแวดล้อมเป็นยังไง บางครั้งก็อาจจะเกิดความเข้าใจผิดกันได้"
5,เค้าคงเอาชื่อสามัญทางยามาเปรียบเทียบ เพราะมันเหมือนกันหมดนั่นแหละ
6,ตัวที่คุณอยากได้สีส้ม  เค้าเลิกผลิตไปแล้วค่ะ
7,ที่คุณได้มาคือตัวเดียวกับสีส้มแก้ไอที่คุณอยากได้นะครับ
8,"..จขกท.อยากได้แบบบรรเทาอาการไอไม่มีเสมหะ แต่ที่ตู้โชว์ไม่มีรสที่ต้องการ
ผมว่าจขกท.สื่อสารน้อยไปไม่ชัดเจน ส่วนเภสัชคงกำลังคุยLineอยู่กับแฟน ถึงไม่สนใจถามรายละเอียดเพิ่มเติม ไม่งั้นคงรู้เรื่องกันไปแล้ว"
9,ปกติใช้ สีน้ำเงิน ที่คุณไม่อยากได้ อยู่ ใช้ดีมาก ตัวนี้ดีกวว่าสีส้มนะคะ ความรู้สึกเรา หายากกว่าด้วย
10,"คราวหลังบอกไปเลยค่ะว่าเอาแบบละลายเสมหะรสส้มไม่เอาแบบแก้เจ็บคออย่างเดียว  แบบละลายเสมหะรสส้ม มีไหมครับ  แบบนี้นะคะ


ในอดีตการสื่อสารผิดพลาดทำให้คนตายหรอรักษาไม่หายมาเยอะแล้วนะคะ   ดังนั้นโรคไปไกลการศึกษาล้ำไปมากเพราะงั้น  ศึกษาเตรียมตัวมาก่อน บอกความต้องการไปตรงๆ   และที่สำคัญบอกอาการให้ครบ ใช่ไม่ใช่ที่เหลือให้ผู้เชี่ยวชาญตัดสินอีกทีนึงค่ะ จบการรักษาง่าย
แก้ไขข้อความเมื่อ 22 เมษายน 2562 เวลา 01:42 น."
11,ผมก็เจอปัญหาแบบเดียวกันครับ ไปหารสส้มแบบซองตั้ง ที่ร้านฟาสซิโน่สาขาแพร่ ทางร้านบอกว่าเลิกผลิตแล้วประมาณปี2020 แท้ที่จริงยังมีขายอยู่ตามร้านที่ไม่ใช่เครือของฟาสซิโนครับ(8กพ.2022)สรรพคุณการละลายเสมหะซองสีส้มจะดีกว่าครับ
12,"เราตอบในฐานะเภสัช
strepsil มี 5 ตัวเท่านั้นที่มี ""ยา"" ประกอบอยู่
- ที่คุณอยากได้ คือ ""ผสม ยา Ambroxol"" ละลายเสมหะ มี 2 รส คือ
        สีฟ้า ที่คุณซื้อได้  Strepsils Throat Irrit Cough  
        สีส้ม ที่คุณอยากได้ Strepsils Chesty Cough

ที่เหลืออีก 3 อย่างคือ
Strepsils Dry Cough : มีตัวยา dextromethorphan สำหรับไอแห้ง ไม่มีเสมหะ   (สีซองคล้ายกับ Throat Irrit Cough มาก)
Strepsils Maxpro      : มีตัวยา ibuprofen เพื่อลดอักเสบลำคอ
Strepsils Maxipluzz   : มีตัวยา lidocaine เป้นยาชา ลดอาการเจ็บแสบคอ  

เราว่า ปัญหาคือ การสื่อสาร นะ"
13,ต้องลองบ้างแล้ว ขอบคุณครับ
14,จริงหรอครับ ที่บ้านเป็นกันแบบหัวออกมาเลย แล้วมันจะค่อยเข้าไปหรือหัวหลุดออกมา แล้วมีผลข้างเคียงไหมครับ
15,ตำรับโบราณเหมือนกัน ใช้เพชรสังฆาตทานกับกล้วยน้ำว้า
16,"คุณ sos_num > ด้วยความยินดีค่ะ ขอให้วิธีนี้เวริคกับคุณเช่นกันนะคะ..ดิฉันบอกเพื่อนๆ ไปหลายคนแล้วเหมือนกัน เค้าก็ได้ผลค่ะ

คุณ t_n_s > มันจะค่อยๆยุบนะคะ และหัวริดซี่ก็อ่อนตัวลง อาการอักเสบก็หายไปค่ะ..ผลข้างเคียงไม่มีค่ะ เหมือนกินน้ำผัก กะ น้ำผึ่งอ่ะค่ะ

คุณ Searchlady > ขอบคุณสำหรับสูตรนะคะ"
