Frequency (MHz),Time of Day,Occupancy (%),Field Strength (dBuV/m)
756.0,643,0,0
756.0,703,0,0
756.0,763,0,0
756.0,823,0,0
756.0,883,0,0
756.6,643,0,0
756.6,703,0,0
756.6,763,0,0
756.6,823,0,0
756.6,883,0,0
757.2,643,0,0
757.2,703,0,0
757.2,763,0,0
757.2,823,0,0
757.2,883,0,0
757.8,643,0,0
757.8,703,0,0
757.8,763,0,0
757.8,823,0,0
757.8,883,0,0
758.4,643,0,0
758.4,703,0,0
758.4,763,0,0
758.4,823,0,0
758.4,883,0,0
759.0,643,0,0
759.0,703,0,0
759.0,763,0,0
759.0,823,0,0
759.0,883,0,0
759.6,643,0,0
759.6,703,0,0
759.6,763,0,0
759.6,823,0,0
759.6,883,0,0
760.2,643,0,0
760.2,703,0,0
760.2,763,0,0
760.2,823,0,0
760.2,883,0,0
760.8,643,0,0
760.8,703,0,0
760.8,763,0,0
760.8,823,0,0
760.8,883,0,0
761.4,643,0,0
761.4,703,0,0
761.4,763,0,0
761.4,823,0,0
761.4,883,0,0
762.0,643,0,0
762.0,703,0,0
762.0,763,0,0
762.0,823,0,0
762.0,883,0,0
762.6,643,0,0
762.6,703,0,0
762.6,763,0,0
762.6,823,0,0
762.6,883,0,0
763.2,643,0,0
763.2,703,0,0
763.2,763,0,0
763.2,823,0,0
763.2,883,0,0
763.8,643,0,0
763.8,703,0,0
763.8,763,0,0
763.8,823,0,0
763.8,883,0,0
764.4,643,0,0
764.4,703,0,0
764.4,763,0,0
764.4,823,0,0
764.4,883,0,0
765.0,643,0,0
765.0,703,0,0
765.0,763,0,0
765.0,823,0,0
765.0,883,0,0
765.6,643,0,0
765.6,703,0,0
765.6,763,0,0
765.6,823,0,0
765.6,883,0,0
766.2,643,0,0
766.2,703,0,0
766.2,763,0,0
766.2,823,0,0
766.2,883,0,0
766.8,643,0,0
766.8,703,0,0
766.8,763,0,0
766.8,823,0,0
766.8,883,0,0
767.4,643,0,0
767.4,703,0,0
767.4,763,0,0
767.4,823,0,0
767.4,883,0,0
768.0,643,0,0
768.0,703,0,0
768.0,763,0,0
